#         t          x          y          z         vx         vy         vz
      0.000    -98.560   -119.990   -127.760    -28.430    173.920     93.230
      0.100   -101.021   -102.173   -117.965    -20.789    182.426    102.673
      0.200   -102.618    -83.491   -107.163    -11.155    191.209    113.369
      0.300   -103.118    -63.929    -95.217      1.156    200.031    125.539
      0.400   -102.205    -43.509    -81.971     17.099    208.373    139.378
      0.500    -99.453    -22.331    -67.256     37.953    215.182    154.925
      0.600    -94.295     -0.651    -50.924     65.204    218.414    171.714
      0.700    -86.045     20.995    -32.936     99.793    214.512    188.047
      0.800    -74.057     41.660    -13.531    139.960    198.793    200.060
      0.900    -58.131     60.054      6.598    178.566    169.087    202.513
      1.000    -38.912     75.066     26.366    205.809    131.154    192.846
      1.100    -17.684     86.336     44.821    218.752     94.244    176.255
      1.200      4.305     94.218     61.527    221.038     63.390    157.870
      1.300     26.218     99.347     76.445    217.223     39.197    140.481
      1.400     47.599    102.334     89.719    210.395     20.541    125.011
      1.500     68.233    103.666    101.546    202.274      6.099    111.530
      1.600     88.034    103.711    112.114    193.750     -5.213     99.821
      1.700    106.984    102.740    121.585    185.264    -14.197     89.612
      1.800    125.099    100.959    130.098    177.027    -21.426     80.647
      1.900    142.407     98.522    137.766    169.131    -27.315     72.713
      2.000    158.944     95.548    144.684    161.604    -32.162     65.637
      2.100    174.746     92.131    150.929    154.446    -36.188     59.277
      2.200    189.851     88.343    156.569    147.641    -39.556     53.522
      2.300    204.291     84.246    161.660    141.167    -42.391     48.281
      2.400    218.099     79.887    166.248    134.998    -44.788     43.480
      2.500    231.304     75.307    170.375    129.109    -46.822     39.059
      2.600    243.934     70.538    174.076    123.477    -48.550     34.967
      2.700    256.012     65.609    177.382    118.079    -50.020     31.164
      2.800    267.560     60.545    180.321    112.895    -51.269     27.614
      2.900    278.600     55.365    182.917    107.906    -52.328     24.289
      3.000    289.150     50.088    185.189    103.096    -53.222     21.164
      3.100    299.228     44.728    187.158     98.449    -53.970     18.217
      3.200    308.848     39.300    188.841     93.952    -54.592     15.431
      3.300    318.025     33.815    190.252     89.591    -55.100     12.789
      3.400    326.772     28.285    191.405     85.357    -55.508     10.277
      3.500    335.102     22.718    192.313     81.238    -55.826      7.884
      3.600    343.025     17.124    192.987     77.225    -56.061      5.600
      3.700    350.552     11.510    193.438     73.309    -56.223      3.414
      3.800    357.691      5.883    193.675     69.484    -56.317      1.319
      3.900    364.453      0.249    193.706     65.741    -56.349     -0.693
      4.000    370.843     -5.384    193.540     62.074    -56.323     -2.627
      4.100    376.871    -11.013    193.184     58.477    -56.244     -4.491
      4.200    382.542    -16.631    192.645     54.944    -56.116     -6.290
      4.300    387.863    -22.234    191.929     51.470    -55.941     -8.027
      4.400    392.839    -27.817    191.042     48.051    -55.721     -9.708
      4.500    397.475    -33.376    189.990     44.681    -55.460    -11.335
      4.600    401.777    -38.907    188.778     41.357    -55.160    -12.914
      4.700    405.749    -44.406    187.410     38.073    -54.821    -14.446
      4.800    409.394    -49.869    185.891     34.828    -54.446    -15.936
      4.900    412.716    -55.293    184.225     31.616    -54.035    -17.385
      5.000    415.718    -60.674    182.416     28.435    -53.589    -18.795
