#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.100   -101.051   -102.224   -118.012    -20.596    181.401    102.138
      0.200   -102.622    -83.703   -107.295    -10.810    189.023    112.189
      0.300   -103.084    -64.426    -95.507      1.568    196.519    123.568
      0.400   -102.134    -44.432    -82.508     17.427    203.361    136.424
      0.500    -99.366    -23.837    -68.149     37.941    208.523    150.757
      0.600    -94.244     -2.907    -52.305     64.492    210.086    166.124
      0.700    -86.115     17.835    -34.948     98.091    204.744    181.019
      0.800    -74.329     37.467    -16.297    137.632    187.897    191.987
      0.900    -58.590     54.679      2.992    177.144    156.347    193.801
      1.000    -39.411     68.196     21.799    206.425    114.000    182.342
      1.100    -18.090     77.427     39.012    219.994     70.618    161.905
      1.200      3.927     82.620     54.022    220.363     33.241    138.305
      1.300     25.576     84.466     66.706    212.603      3.677    115.374
      1.400     46.238     83.702     77.206    200.633    -18.967     94.618
      1.500     65.607     80.944     85.752    186.763    -36.184     76.306
      1.600     83.556     76.670     92.579    172.214    -49.298     60.243
      1.700    100.047     71.239     97.897    157.598    -59.318     46.113
      1.800    115.087     64.924    101.883    143.206    -66.977     33.602
      1.900    128.705     57.935    104.685    129.161    -72.800     22.442
      2.000    140.938     50.437    106.428    115.500    -77.167     12.411
      2.100    151.824     42.561    107.215    102.218    -80.353      3.332
      2.200    161.400     34.415    107.134     89.287    -82.559     -4.939
      2.300    169.697     26.091    106.262     76.669    -83.935    -12.516
      2.400    176.747     17.664    104.661     64.322    -84.591    -19.493
      2.500    182.573      9.204    102.389     52.206    -84.611    -25.943
      2.600    187.197      0.771     99.496     40.278    -84.057    -31.929
      2.700    190.636     -7.581     96.024     28.496    -82.973    -37.501
      2.800    192.902    -15.799     92.014     16.818    -81.391    -42.702
      2.900    194.003    -23.835     87.501      5.199    -79.332    -47.568
      3.000    193.942    -31.642     82.516     -6.409    -76.803    -52.131
      3.100    192.719    -39.172     77.089    -18.058    -73.802    -56.416
      3.200    190.326    -46.377     71.246    -29.807    -70.310    -60.444
      3.300    186.749    -53.208     65.012    -41.724    -66.296    -64.229
      3.400    181.969    -59.608     58.412    -53.883    -61.704    -67.776
      3.500    175.956    -65.516     51.469    -66.368    -56.459    -71.083
      3.600    168.674    -70.861     44.208    -79.273    -50.453    -74.132
      3.700    160.075    -75.561     36.657    -92.706    -43.542    -76.886
      3.800    150.100    -79.515     28.848   -106.789    -35.526    -79.287
      3.900    138.678    -82.597     20.822   -121.661    -26.130    -81.233
      4.000    125.721    -84.653     12.633   -137.474    -14.973    -82.565
      4.100    111.128    -85.476      4.353   -154.391     -1.502    -83.019
      4.200     94.781    -84.797     -3.901   -172.545     15.088    -82.071
      4.300     76.558    -82.243    -11.947   -191.914     35.987    -78.837
      4.400     56.358    -77.293    -19.490   -212.080     63.026    -72.032
      4.500     34.185    -69.195    -26.041   -231.378     98.933    -58.983
      4.600     10.394    -56.900    -30.724   -244.443    146.965    -34.673
      4.700    -13.648    -39.246    -32.044   -236.398    206.103      8.261
      4.800    -34.658    -16.274    -28.261   -183.808    253.346     67.410
      4.900    -48.898      9.060    -19.298   -100.999    253.325    111.836
      5.000    -55.491     32.739     -7.320    -30.857    220.262    127.724
      5.100    -56.148     52.700      5.385     17.730    178.962    126.382
      5.200    -52.750     68.591     17.530     50.216    138.856    116.525
      5.300    -46.632     80.621     28.522     72.142    101.745    103.313
      5.400    -38.681     89.084     38.105     86.875     67.498     88.344
      5.500    -29.520     94.238     46.135     96.359     35.592     72.254
      5.600    -19.616     96.292     52.510    101.715      5.492     55.255
      5.700     -9.352     95.402     57.141    103.574    -23.286     37.349
      5.800      0.939     91.678     59.927    102.232    -51.207     18.378
      5.900     10.934     85.179     60.746     97.665    -78.769     -1.998
      6.000     20.287     75.916     59.428     89.395   -106.499    -24.371
      6.100     28.568     63.847     55.726     76.233   -134.873    -49.662
      6.200     35.166     48.899     49.279     55.718   -164.083    -79.266
      6.300     39.090     31.034     39.555     22.771   -193.225   -115.216
      6.400     38.544     10.534     25.811    -33.693   -216.761   -159.680
      6.500     30.099    -10.694      7.491   -135.203   -207.801   -206.711
      6.600     11.019    -25.818    -11.702   -246.399    -94.691   -177.149
      6.700    -12.966    -29.875    -25.363   -233.296     13.552    -96.082
      6.800    -33.542    -25.744    -31.822   -178.230     69.069    -33.092
      6.900    -48.293    -17.512    -32.841   -116.798     95.577     12.714
      7.000    -56.868     -7.471    -29.843    -54.695    105.239     47.257
      7.100    -59.188      2.921    -23.790      8.292    102.600     73.797
      7.200    -55.059     12.471    -15.407     74.282     88.409     93.849
      7.300    -43.955     19.823     -5.374    147.803     58.634    106.818
      7.400    -24.811     22.591      5.048    235.084     -3.285    101.621
      7.500      2.170     15.281     11.301    304.534   -142.911     23.438
      7.600     24.216     -2.412      7.212    136.384   -210.950   -105.205
      7.700     30.785    -20.218     -3.799     -5.014   -145.171   -115.029
      7.800     26.230    -30.689    -13.562    -86.084    -64.243    -80.218
      7.900     15.294    -32.818    -19.056   -132.639     21.660    -29.661
      8.000      1.202    -25.820    -18.539   -149.190    118.301     39.999
      8.100    -11.153     -7.830     -8.726    -97.919    241.512    156.263
      8.200     -5.039     12.011      9.347    220.203    155.289    205.196
      8.300     14.856     21.596     23.471    177.693     36.424     77.270
      8.400     29.260     22.259     27.500    110.386    -23.166      3.322
      8.500     36.618     18.045     25.124     36.774    -61.117    -50.844
      8.600     36.118     10.685     17.841    -46.774    -86.082    -94.811
      8.700     25.704      1.309      6.220   -161.497   -101.432   -137.614
      8.800     -4.890     -5.550     -5.713   -450.379    -35.751   -101.049
      8.900    -42.144     -7.157    -12.472   -294.706      3.609    -34.132
      9.000    -67.607     -6.350    -14.870   -214.550     12.533    -13.829
      9.100    -86.270     -4.922    -15.704   -158.721     16.017     -2.842
      9.200    -99.917     -3.249    -15.625   -114.207     17.456      4.416
      9.300   -109.416     -1.486    -14.920    -75.769     17.800      9.690
      9.400   -115.239      0.272    -13.752    -40.699     17.353     13.667
      9.500   -117.644      1.943    -12.243     -7.404     16.080     16.520
      9.600   -116.803      3.430    -10.521     24.228     13.654     17.908
      9.700   -112.886      4.684     -8.661     54.112     11.425     19.290
      9.800   -105.902      5.717     -6.650     85.557      9.243     20.926
      9.900    -95.596      6.509     -4.478    120.566      6.589     22.516
     10.000    -81.472      6.985     -2.160    161.920      2.935     23.850
     10.100    -62.618      6.991      0.250    215.169     -2.820     24.341
